ISCI Code,Title,Media,Market(DMA),Length,Category,Value Prop,Drive Link
LRCH35056,Ins Stop CHI,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1z0YJMj94bQmvv-Xi9gi5bNMmwk70JB36/view?usp=sharing
LRCH35057,Ins Stop CHI BLK,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/17M6-i1LlAKZ1yNKCzs1X3A3VfBoNot0h/view?usp=sharing
LRCH35064,Wreck Check CHI,TV,CHI,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1RewDfLkdwJ09n-G1-tZvrk-_7yabTIwZ/view?usp=sharing
LRCH35065,Wreck Check CHI BLK,TV,CHI,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1sC8CRIN-37eSXIuttUIoUeWtgu1o65Xs/view?usp=sharing
LRCH35072,Weekend25 CHI,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1d3iFx3jnDvLS2X5GyVuWC1hFdcBo534Q/view?usp=sharing
LRCH35073,Weekend25 CHI BLK,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1EJn64aXESEjGTcSMsLvUvpvZd4LE2TWD/view?usp=sharing
LRCH35080,Overnight25 CHI,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1rOlPHSdWqL2-fzQ3oABuiLICNikF8UUJ/view?usp=sharing
LRCH35081,Overnight25 CHI BLK,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1pwx_cIIyx--0LABtCrBybGKMytB9FTzD/view?usp=sharing
LRCH35090,Get LNR25 CHI,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1zd9wMi3-Cn1ZzduADwMjby9E-JwTM2zD/view?usp=sharing
LRCH35091,Get LNR25 CHI BLK,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1rtO5_RmrW3B7l95cw4hX_VqBd9w2QNca/view?usp=sharing
LRCH35098,If your wreck 25 CHI,TV,CHI,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/14r9av9FEILqniMPoEc8zHN1-ptVJe4xd/view?usp=sharing
LRCH35099,If your wreck 25 CHI BLK,TV,CHI,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1Tnwp8oQofAotUk2TsnD7Op41wzns1ai2/view?usp=sharing
