Frame.io File,Spot #,Code,Concept,Length,ISCI Title,OKC ISCI,TUL ISCI
View PDV 1206 AA Thunder We All Win.mp4,1206,AA,Thunder We All Win,30,Thunder We All Win_30,OKCPDV2630056T,TULPDV2630056T
View PDV 1207 AA Rumble Hoops.mp4,1207,AA,Rumble Hoops,30,Rumble Hoops_30,OKCPDV2630057T,TULPDV2630057T
View PDV 1208 AA Wait and See.mp4,1208,AA,Wait and See,30,Wait and See_30,OKCPDV2630058T,TULPDV2630058T
View PDV 1209 AA Wait and See 15.mp4,1209,AA,Wait and See,15,Wait and See_15,OKCPDV2615012T,TULPDV2615012T
View PDV 1210 AA Thunder We All Win 10.mp4,1210,AA,Thunder We All Win,10,Thunder We All Win_10,OKCPDV2610032T,TULPDV2610032T
View PDV 1211 AA Rumble Hoops 15.mp4,1211,AA,Rumble Hoops,15,Rumble Hoops_15,OKCPDV2615013T,TULPDV2615013T
View PDV 1212 AA Rumble Hoops 10.mp4,1212,AA,Rumble Hoops,10,Rumble Hoops_10,OKCPDV2610033T,TULPDV2610033T
View PDV 1213 AA For the Ride.mp4,1213,AA,For the Ride,30,For the Ride_30,OKCPDV2630059T,TULPDV2630059T
View PDV 1214 AA Serious Bikers.mp4,1214,AA,Serious Bikers,30,Serious Bikers_30,OKCPDV2630060T,TULPDV2630060T
View PDV 1215 AA ASAP.mp4,1215,AA,ASAP,30,ASAP_30,OKCPDV2630061T,TULPDV2630061T
View PDV 1216 AA ASAP 10.mp4,1216,AA,ASAP,10,ASAP_10,OKCPDV2610034T,TULPDV2610034T
View PDV 1217 AA Blowtorch 10.mp4,1217,AA,Blowtorch,10,Blowtorch_10,OKCPDV2610035T,TULPDV2610035T
View PDV 1218 AA For the Ride 10.mp4,1218,AA,For the Ride,10,For the Ride_10,OKCPDV2610036T,TULPDV2610036T
View PDV 1219 AA Rumble Pros.mp4,1219,AA,Rumble Pros,30,Rumble Pros_30,OKCPDV2630062T,TULPDV2630062T
View PDV 1221 AA Rumble Pros 15.mp4,1221,AA,Rumble Pros,15,Rumble Pros_15,OKCPDV2615014T,TULPDV2615014T
View PDV 1222 AA Doesn't Care.mp4,1222,AA,Doesn't Care,30,Doesn't Care_30,OKCPDV2630063T,TULPDV2630063T
View PDV 1224 AA Doesn't Care 15.mp4,1224,AA,Doesn't Care,15,Doesn't Care_15,OKCPDV2615015T,TULPDV2615015T
View PDV 1225 AA Dangerous Times.mp4,1225,AA,Dangerous Times,30,Dangerous Times_30,OKCPDV2630064T,TULPDV2630064T
View PDV 1226 AA Thunder Values.mp4,1226,AA,Thunder Values,30,Thunder Values_30,OKCPDV2630065T,TULPDV2630065T
View PDV 1227 AA Wins Repeat.mp4,1227,AA,Wins Repeat,30,Wins Repeat_30,OKCPDV2630066T,TULPDV2630066T
View PDV 1228 AA Thunder Values 15.mp4,1228,AA,Thunder Values,15,Thunder Values_15,OKCPDV2615016T,TULPDV2615016T
View PDV 1229 AA Dangerous Times 10.mp4,1229,AA,Dangerous Times,10,Dangerous Times_10,OKCPDV2610037T,TULPDV2610037T
View PDV 1230 AA Wins Repeat 10.mp4,1230,AA,Wins Repeat,10,Wins Repeat_10,OKCPDV2610038T,TULPDV2610038T
View PDV 1231 AA MC Motorcycle Realities.mp4,1231,AA,MC Motorcycle Realities,30,MC Motorcycle Realities_30,OKCPDV2630067T,TULPDV2630067T
View PDV 1232 AA MC Motorcycle Injuries.mp4,1232,AA,MC Motorcycle Injuries,30,MC Motorcycle Injuries_30,OKCPDV2630068T,TULPDV2630068T
View PDV 1233 AA MC Freedom.mp4,1233,AA,MC Freedom,30,MC Freedom_30,OKCPDV2630069T,TULPDV2630069T
View PDV 1234 AA MC Motorcycle Injuries 10.mp4,1234,AA,MC Motorcycle Injuries,10,MC Motorcycle Injuries_10,OKCPDV2610039T,TULPDV2610039T
View PDV 1235 AA MC Freedom 10.mp4,1235,AA,MC Freedom,10,MC Freedom_10,OKCPDV2610040T,TULPDV2610040T
View PDV 1236 AA Thunder Post Season.mp4,1236,AA,Thunder Post Season,30,Thunder Post Season_30,OKCPDV2630070T,TULPDV2630070T
View PDV 1237 AA Thunder Post Season 15.mp4,1237,AA,Thunder Post Season,15,Thunder Post Season_15,OKCPDV2615017T,TULPDV2615017T
View PDV 1238 AA Thunder Post Season 10.mp4,1238,AA,Thunder Post Season,10,Thunder Post Season_10,OKCPDV2610041T,TULPDV2610041T
View PDV 1239 AA Power of Parrish DeVaughn.mp4,1239,AA,Power of Parrish DeVaughn,30,Power of Parrish DeVaughn_30,OKCPDV2630071T,TULPDV2630071T
View PDV 1241 AA Client Story Anna.mp4,1241,AA,Client Story Anna,30,Client Story Anna_30,OKCPDV2630072T,TULPDV2630072T
View PDV 1242 AA Number Repeat Covered.mp4,1242,AA,Number Repeat Covered,30,Number Repeat Covered_30,OKCPDV2630073T,TULPDV2630073T
View PDV 1243 AA It's Personal 30.mp4,1243,AA,It's Personal,30,It's Personal_30,OKCPDV2630074T,TULPDV2630074T
View PDV 1244 AA Emmanuel Testimonial.mp4,1244,AA,Emmanuel Testimonial,30,Emmanuel Testimonial_30,OKCPDV2630075T,TULPDV2630075T
View PDV 1245 AA Emmanuel Testimonial 15.mp4,1245,AA,Emmanuel Testimonial,15,Emmanuel Testimonial_15,OKCPDV2615018T,TULPDV2615018T
View PDV 1246 AA It's Personal 15.mp4,1246,AA,It's Personal,15,It's Personal_15,OKCPDV2615019T,TULPDV2615019T
View PDV 1247 AA Power of Parrish DeVaughn 10.mp4,1247,AA,Power of Parrish DeVaughn,10,Power of Parrish DeVaughn_10,OKCPDV2610042T,TULPDV2610042T
View PDV 1248 AA Client Story Anna 10.mp4,1248,AA,Client Story Anna,10,Client Story Anna_10,OKCPDV2610043T,TULPDV2610043T
View PDV 1249 AA Number Repeat Covered 10.mp4,1249,AA,Number Repeat Covered,10,Number Repeat Covered_10,OKCPDV2610044T,TULPDV2610044T
View PDV 1251 BD AI Famous Fakes.mp4,1251,BD,AI Famous Fakes,30,AI Famous Fakes_30,OKCPDV2630076T,TULPDV2630076T
